itemid,description,location,itemindex,notes,sublocation
274.0-BottomRubber,Bottom Bar Rubber,Bristol,1,,Bench
226.0-BSS66,"3/16"" - 66 Rivet",Bristol,2,,Bench
382.0-IRetainer,Insulation Retainer Clips,Bristol,3,,Bench
295.0-FEnd3/16,"Endlock, Flat Slat, Galvanized, 3/16"" Holes",Bristol,4,,Bench
291.0-CEndRC,"Crown Slat Endlock, Cast, Right Hand",Bristol,5,,Bench
290.0-CEndLC,"Crown Slat Endlock, Cast, Left Hand",Bristol,6,,Bench
297.0-FWindC,"Flat Windlocks, Cast",Bristol,7,,Bench
296.0-FEndC,"Flat Endlock, Cast",Bristol,8,,Bench
294.0-CWindC,Crown Cast Windlocks,Bristol,9,,Bench
298.0-MCEndL,"Mini Crown, Endlock, Left Hand",Bristol,10,,Bench
299.0-MCEndR,"Mini Crown, Endlock, Right Hand",Bristol,11,,Bench
369.0-BackPanel53,"Steel Cover Back Panel, 53"" x 23-1/2""",Bristol,12,,Bench
19.0-AirHose,Pneumatic Air Hose,Bristol,12.1,,Bench
384.0-MullCtr24,"Center Mullion, 24"" ($2,975 per bin @ 700 pieces)",Bristol,13,,Back Right
387.0-MullEnd24L,"End Mullion, 24"", Left ($1,020 per bin @ 240 pieces)",Bristol,14,,Back Right
388.0-MullEnd24R,"End Mullion, 24"", Right ($1,020 per bin @ 240 pieces)",Bristol,15,,Back Right
356.0-BSP,"2"" x 21' Schedule 10 Pipe",Bristol,16,,Center Rack: Right
340.0-MCSlat25,"Slats, Mini Crown, 25' long",Bristol,17,,Center Rack: Right
303.0-AI2218G,"2"" x 2"" x 1/8"" x 20 Angle Iron, Galvanized",Bristol,18,Check Pipe Shop for unpainted,Center Rack: Right
406.0-SRP-Ast-Prem,Premium Rubber Astragal,Bristol,19,,Back Left Rack
301.0-GuideSeal,Rolling Steel Door Guide Seal,Bristol,20,,Back Left Rack
318A-SlatSteel5280Gray,5.280 wide x 20-Gauge Prime Steel (BRD & NY Slat),Bristol,21,,Center Rack: Left
320A-SlatSteel5340Gray,5.340 wide x 20-Gauge Prime Steel (Crown),Bristol,22,,Center Rack: Left
379.0-IFoam23,"Insulating Foam 1-1/16"" x 23-1/2"" x 96""",Bristol,23,,Center Rack: Left
381.0-IFoam9,"Insulating Foam 3/8"" x 9-1/4"" x 96""",Bristol,24,,Center Rack: Left
380.0-IFoam6,"Insulating Foam 3/8"" x 6-1/4"" x 96""",Bristol,25,,Center Rack: Left
334A-SMGRAY48102,"Gray Prime Sheets, 24 gauge, 48"" x 102""",Bristol,25.1,,Breaker Area
335A-SMGRAY48114,"Gray Prime Sheets, 24 gauge, 48"" x 114""",Bristol,25.2,,Breaker Area
302.0-HoodBaffle,"1/16"" thick x 8"" wide SBR-C.I Rubber Strip, Baffle",Bristol,26,,Breaker Area
390.0-PAN082W24,"8' 2"" x 24"" Pan, 24 Gauge, White",Bristol,27,,Breaker Area
392.0-PAN102W24,"10' 2"" x 24"" Pan, 24 Gauge, White",Bristol,28,,Breaker Area
395.0-PAN122W24,"12' 2"" x 24"" Pan, 24 Gauge, White",Bristol,29,,Breaker Area
354.0-BS-6010,6010 Band Spring (Rolls are 200-pounds each),Bristol,30,,Bandspring Area
354.0-BS-6011,6011 Band Spring,Bristol,31,,Bandspring Area
354.0-BS-6012,6012 Band Spring,Bristol,32,,Bandspring Area
354.0-BS-6013,6013 Band Spring (Rolls are 200-pounds each),Bristol,33,,Bandspring Area
354.0-BS-6014,6014 Band Spring (Rolls are 200-pounds each),Bristol,34,,Bandspring Area
353.0-BellBS,"7"" Bellmouth Stops (Pair)",Bristol,35,,Bandspring Area
329.0-Hasp Pin Set,Hasp Pin Set - Lolly Pop Locks,Bristol,36,,Bandspring Area
355.0-BSDMTCLIP,Mounting Clips for Band Spring Door,Bristol,37,,Bandspring Area
357.0-SBC,"Spring Box Clip, Reverse, ""C""",Bristol,38,,Bandspring Area
358.0-SBS,"Spring Box Clip, ""S""",Bristol,39,,Bandspring Area
359.0-Spring Box,"8"" Spring Box",Bristol,40,,Bandspring Area
351.0-15EB,"15"" End Bracket",Bristol,41,,Bandspring Area
331.0-SlideLock,Slide Bolt Lock,Bristol,42,,Locker
3.0-AW-14,Air Wave 14 Safety edge switch in molded enclosure,Bristol,43,,Cabinet
20.0-AirPlug,Air Hose Plug,Bristol,44,,Cabinet
25.0-WMMBU,"Wall Mount Motor Bracket, Universal",Bristol,45,,Cabinet
23.0-FOC,Front of Coil Motor Clip,Belmont,100,,Between Bays
51.0-H-5011-L4R,"Hoist - Belt Operator, 1/2 hp, 115v, 1 phase  S/N:",Belmont,101,,Wall: Leftside
54.0-H-5043-L3R,"Hoist - Belt Operator, 1/2 hp, 460v, 3 phase  S/N:",Belmont,102,,Wall: Leftside
60.0-GH1011-L4,"Gearhead Operator, 1 hp, 115v, 1 phase  S/N:",Belmont,103,,Wall: Leftside
63.0-GH1043-L4,"Gearhead Operator, 1hp, 460v, 3 phase  S/N:",Belmont,104,,Wall: Leftside
68.0-GH-5011-L4R,"Gearhead Operator, 1/2 hp, 115v, 1 phase  S/N:",Belmont,105,,Wall: Leftside
71.0-GH5043-L4R,"Gearhead Operator, 1/2 hp, 460v, 3 phase  S/N:",Belmont,106,,Wall: Leftside
80.0-50B24-10,"50 B 24 x 1"" Bore",Belmont,107,,Wall: Leftside
82.0-50B40-10,"50 B 40 x 1"" Bore",Belmont,108,,Wall: Leftside
83.0-50B40-11,"50 B 40 x 1-1/4"" x 1/4"" key",Belmont,109,,Wall: Leftside
84.0-50B40-12,"50 B 40 x 1-1/2"" Bore",Belmont,110,,Wall: Leftside
